S_NO,Image_PATH,Phone_Name,Price
1,https://www.phonecurry.com/img/phones/OnePlus 7 Pro 1_tn.jpg,OnePlus 7 Pro,"57,999"
2,https://www.phonecurry.com/img/phones/Samsung Galaxy S10 Plus 1_tn.jpg,Samsung Galaxy S10 Plus,"112,600"
3,https://www.phonecurry.com/img/phones/Oppo Reno 10x Zoom 1_tn.jpg,Oppo Reno 10x Zoom,"49,990"
4,https://www.phonecurry.com/img/phones/Samsung Galaxy S10 Plus 1_tn.jpg,Samsung Galaxy S10 Plus,"72,990"
5,https://www.phonecurry.com/img/phones/OnePlus 7 Pro 1_tn.jpg,OnePlus 7 Pro,"52,999"
6,https://www.phonecurry.com/img/phones/Oppo Reno 10x Zoom 1_tn.jpg,Oppo Reno 10x Zoom,"39,990"
7,https://www.phonecurry.com/img/phones/Samsung Galaxy S10 Plus 1_tn.jpg,Samsung Galaxy S10 Plus,"69,900"
8,https://www.phonecurry.com/img/phones/Samsung Galaxy S10 1_tn.jpg,Samsung Galaxy S10,"75,100"
9,https://www.phonecurry.com/img/phones/OnePlus 7 Pro 1_tn.jpg,OnePlus 7 Pro,"48,999"
10,https://www.phonecurry.com/img/phones/Huawei P30 Pro 1_tn.jpg,Huawei P30 Pro,"71,990"
11,https://www.phonecurry.com/img/phones/Samsung Galaxy S10 1_tn.jpg,Samsung Galaxy S10,"59,900"
12,https://www.phonecurry.com/img/phones/Xiaomi Black Shark 2 1_tn.jpg,Xiaomi Black Shark 2,"49,999"
13,https://www.phonecurry.com/img/phones/Samsung Galaxy S10e 1_tn.jpg,Samsung Galaxy S10e,"50,900"
14,https://www.phonecurry.com/img/phones/Apple iPhone XS Max 1_tn.jpg,Apple iPhone XS Max,"134,000"
15,https://www.phonecurry.com/img/phones/Google Pixel 3 XL 1_tn.jpg,Google Pixel 3 XL,"92,000"
16,https://www.phonecurry.com/img/phones/Apple iPhone XS Max 1_tn.jpg,Apple iPhone XS Max,"115,999"
17,https://www.phonecurry.com/img/phones/Apple iPhone XR 1_tn.jpg,Apple iPhone XR,"73,400"
18,https://www.phonecurry.com/img/phones/Apple iPhone XS 1_tn.jpg,Apple iPhone XS,"134,900"
19,https://www.phonecurry.com/img/phones/Google Pixel 3 XL 1_tn.jpg,Google Pixel 3 XL,"54,999"
20,https://www.phonecurry.com/img/phones/Apple iPhone XR 1_tn.jpg,Apple iPhone XR,"63,999"
21,https://www.phonecurry.com/img/phones/Apple iPhone XS 1_tn.jpg,Apple iPhone XS,"109,900"
22,https://www.phonecurry.com/img/phones/Apple iPhone XS Max 1_tn.jpg,Apple iPhone XS Max,"104,900"
23,https://www.phonecurry.com/img/phones/Google Pixel 3 1_tn.jpg,Google Pixel 3,"58,999"
24,https://www.phonecurry.com/img/phones/Apple iPhone XR 1_tn.jpg,Apple iPhone XR,"57,349"
25,https://www.phonecurry.com/img/phones/Asus Zenfone 6 2019 1_tn.jpg,Asus 6z,"45,000"
26,https://www.phonecurry.com/img/phones/Apple iPhone XS 1_tn.jpg,Apple iPhone XS,"94,900"
27,https://www.phonecurry.com/img/phones/OnePlus 7 1_tn.jpg,OnePlus 7,"37,999"
28,https://www.phonecurry.com/img/phones/Google Pixel 3 1_tn.jpg,Google Pixel 3,"56,938"
29,https://www.phonecurry.com/img/phones/Xiaomi Black Shark 2 1_tn.jpg,Xiaomi Black Shark 2,"39,999"
30,https://www.phonecurry.com/img/phones/Huawei Mate 20 Pro 1_tn.jpg,Huawei Mate 20 Pro,"59,990"
