Name,Price,Smartphone OS,IMG PATH,Screen Resolution,Screen size,Processor,GPU,RAM
"OnePlus 7 Pro (12GB RAM, 256GB)","57,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/OnePlus 7 Pro 1.jpg,1440x3120 pixels (~ 515 pixels per inch),6.67 inches,"2.84 GHz, Octa Core, Qualcomm Snapdragon 855",Adreno 640,12 GB
"Samsung Galaxy S10 Plus (12GB RAM, 1TB)","112,600",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Samsung Galaxy S10 Plus 1.jpg,1440x3040 pixels (~ 526 pixels per inch),6.4 inches,"2.7 GHz, Octa Core, Exynos 9820 Octa",Mali-G76 MP12,12 GB
"Oppo Reno 10x Zoom (8GB RAM, 256GB)","49,990",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Oppo Reno 10x Zoom 1.jpg,1080x2340 pixels (~ 390 pixels per inch),6.6 inches,"2.84 GHz, Octa Core, Qualcomm Snapdragon 855",Adreno 640,8 GB
"Samsung Galaxy S10 Plus (8GB RAM, 512GB)","72,990",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Samsung Galaxy S10 Plus 1.jpg,1440x3040 pixels (~ 526 pixels per inch),6.4 inches,"2.7 GHz, Octa Core, Exynos 9820 Octa",Mali-G76 MP12,8 GB
"OnePlus 7 Pro (8GB RAM, 256GB)","52,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/OnePlus 7 Pro 1.jpg,1440x3120 pixels (~ 515 pixels per inch),6.67 inches,"2.84 GHz, Octa Core, Qualcomm Snapdragon 855",Adreno 640,8 GB
"Oppo Reno 10x Zoom (6GB RAM, 128GB)","39,990",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Oppo Reno 10x Zoom 1.jpg,1080x2340 pixels (~ 390 pixels per inch),6.6 inches,"2.84 GHz, Octa Core, Qualcomm Snapdragon 855",Adreno 640,6 GB
"Samsung Galaxy S10 Plus (8GB RAM, 128GB)","69,900",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Samsung Galaxy S10 Plus 1.jpg,1440x3040 pixels (~ 526 pixels per inch),6.4 inches,"2.7 GHz, Octa Core, Exynos 9820 Octa",Mali-G76 MP12,8 GB
Samsung Galaxy S10 512GB,"75,100",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Samsung Galaxy S10 1.jpg,1440x3040 pixels (~ 551 pixels per inch),6.1 inches,"2.7 GHz, Octa Core, Exynos 9820 Octa",Mali-G76 MP12,8 GB
"OnePlus 7 Pro (6GB RAM, 128GB)","48,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/OnePlus 7 Pro 1.jpg,1440x3120 pixels (~ 515 pixels per inch),6.67 inches,"2.84 GHz, Octa Core, Qualcomm Snapdragon 855",Adreno 640,6 GB
Huawei P30 Pro,"71,990",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Huawei P30 Pro 1.jpg,1080x2340 pixels (~ 398 pixels per inch),6.47 inches,"2.6 GHz, Octa Core, HiSilicon Kirin 980",Mali-G76 MP10,8 GB
Samsung Galaxy S10 128GB,"59,900",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Samsung Galaxy S10 1.jpg,1440x3040 pixels (~ 551 pixels per inch),6.1 inches,"2.7 GHz, Octa Core, Exynos 9820 Octa",Mali-G76 MP12,8 GB
"Xiaomi Black Shark 2 (12GB RAM, 256GB)","49,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Xiaomi Black Shark 2 1.jpg,1080x2340 pixels (~ 403 pixels per inch),6.39 inches,"2.84 GHz, Octa Core, Qualcomm Snapdragon 855",Adreno 640,8 GB
